item_category,item_name,item_after_discount,item_price,percentage_solds,item_rating,item_shipping,buyer_gender
Eyewear,"Emporio Armani Square Sunglasses For Men - Blue, EA4117 570380 57",780.00SAR,359.49SAR,,60,FREE Shipping,men
Eyewear,"Ray-Ban Sunglasses Unisex , Lense Size 54 mm , Brown",997.00SAR,503.49SAR,2,,FREE Shipping,Unisex
Eyewear,"Polaroid Sunglasses For Men Pld 1016/Sdl550Lb, Dark Green Lens, Square Frame",200.00SAR,134.99SAR,51,60,Eligible for FREE Shipping,men
Eyewear,"Ray-Ban Classic Aviator Unisex Sunglasses - Rb3025-112-58-19-135, Green Lens","1,134.00SAR",440.29SAR,13,88,FREE Shipping,Unisex
Eyewear,"Polaroid Sunglasses for Men , Grey Lenses",450.00SAR,168.99SAR,22,,Eligible for FREE Shipping,men
Eyewear,"Carrera Sunglasses For Unisex, Gold Lens, Carrera1005/S, Aviator Frame",560.00SAR,350.98SAR,17,100,FREE Shipping,Unisex
Eyewear,"Ray-Ban RB1971 914731 Square Sunglasses for Unisex , Lens 54 mm",997.00SAR,415.49SAR,52,90,FREE Shipping,Unisex
Eyewear,"Sunglasses For Unisex By Ray-Ban, Metal, Gold, Rb3025 001 62, Green Lens, Panto Frame",658.00SAR,385.46SAR,59,74,FREE Shipping,Unisex
Eyewear,"Polaroid Sunglass for Men , Black Lens , PLD 2069/F/S/X 807 61",280.00SAR,140.98SAR,56,100,Eligible for FREE Shipping,men
Eyewear,Ray-Ban Aviator Unisex Sunglasses - RB3025 001/33 58,977.00SAR,415.49SAR,57,90,FREE Shipping,Unisex
Eyewear,"Polaroid Men's PLD 2017/S Y2 KJ1 62 Sunglasses, Dark Ruthenium/Grey Pz",250.00SAR,144.48SAR,52,82,Eligible for FREE Shipping,men
Eyewear,"Polaroid Sunglassess for Men, Grey- PLD 1015/S D28/Y2,Rectangle Shape",250.00SAR,113.99SAR,57,90,Eligible for FREE Shipping,men
Eyewear,"Ray-Ban Aviator Unisex Sunglasses - Rb3025-W0879-58-14-135, Green Lens",945.00SAR,302.98SAR,96,80,FREE Shipping,Unisex
Eyewear,"Ray Ban Sunglasses For Unisex, Brown, 0Rb4340 710/5150, Square Frame","1,130.00SAR",445.99SAR,,,FREE Shipping,Unisex
Eyewear,"Ray Ban Sunglasses, Unisex, Black, 4253, 50, 601, 71, Round Frame",850.00SAR,534.99SAR,55,84,FREE Shipping,Unisex
Eyewear,"Polaroid Sunglasses for Unisex, Grey- PLD 1017/S 22763900358WJ",250.00SAR,125.99SAR,55,100,Eligible for FREE Shipping,Unisex
Eyewear,Polaroid Unisex Round Sunglasses - PLD 2053/S 80751M9,250.00SAR,134.99SAR,36,94,Eligible for FREE Shipping,Unisex
Eyewear,"Polaroid Cat Eye Women's Sunglasses - Pld 4066/S 08657La, Brown Lens",250.00SAR,123.98SAR,33,80,Eligible for FREE Shipping,women
Eyewear,"Carrera Sunglasses for Unisex - Black Lens,  1005/S TI7",750.00SAR,305.98SAR,56,100,FREE Shipping,Unisex
Eyewear,"Carrera Sunglasses For Unisex - Black Lens, 1011/S, Grey Lens, Square Frame",750.00SAR,716.98SAR,66,94,FREE Shipping,Unisex
Eyewear,"Polaroid Sunglasses For Unisex, Black- Pld 2054/S-003 M9, Square Frame",250.00SAR,168.99SAR,96,78,Eligible for FREE Shipping,Unisex
Eyewear,Polaroid PLD 4062/S/X BLACK/GREY women Sunglasses,250.00SAR,159.48SAR,18,90,Eligible for FREE Shipping,women
Eyewear,"Polaroid Sunglasses For Unisex Pld 2061/S00350M9, Grey Lens, Panto Frame",250.00SAR,179.49SAR,52,56,Eligible for FREE Shipping,Unisex
Eyewear,"Polaroid  Aviator Sunglasses For Unisex  - Multi Color , PLD 6012/N",350.00SAR,119.49SAR,62,76,Eligible for FREE Shipping,Unisex
Eyewear,"Polaroid Sunglasses For Unisex, Grey Lens, Pld6063/G/S, Oval Frame",250.00SAR,112.49SAR,73,100,Eligible for FREE Shipping,Unisex
